age,education,sex,hours_per_week,USA_born,label,workclass_Federal-gov,workclass_Local-gov,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_Without-pay,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,race_White
39.0,0.0,1,40.0,1.0,0,False,False,False,False,False,True,False,False,False,False,False,True
50.0,0.0,1,13.0,1.0,0,False,False,False,False,True,False,False,False,False,False,False,True
38.0,3.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
53.0,8.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,True,False,False
28.0,0.0,0,40.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False
37.0,4.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
49.0,8.0,0,16.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False
52.0,3.0,1,45.0,1.0,1,False,False,False,False,True,False,False,False,False,False,False,True
31.0,4.0,0,50.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
42.0,0.0,1,40.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
37.0,7.0,1,80.0,1.0,1,False,False,True,False,False,False,False,False,False,True,False,False
30.0,0.0,1,40.0,0.0,1,False,False,False,False,False,True,False,False,True,False,False,False
23.0,0.0,0,30.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
34.0,5.0,1,45.0,0.0,0,False,False,True,False,False,False,False,True,False,False,False,False
25.0,3.0,1,35.0,1.0,0,False,False,False,False,True,False,False,False,False,False,False,True
32.0,3.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
38.0,8.0,1,50.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
43.0,4.0,0,45.0,1.0,1,False,False,False,False,True,False,False,False,False,False,False,True
40.0,1.0,1,60.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
54.0,3.0,0,20.0,1.0,0,False,False,True,False,False,False,False,False,False,True,False,False
35.0,8.0,1,40.0,1.0,0,True,False,False,False,False,False,False,False,False,True,False,False
43.0,8.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
59.0,3.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
56.0,0.0,1,40.0,1.0,1,False,True,False,False,False,False,False,False,False,False,False,True
19.0,3.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
39.0,3.0,1,80.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
49.0,3.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
20.0,7.0,1,44.0,1.0,0,False,False,True,False,False,False,False,False,False,True,False,False
45.0,0.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
30.0,7.0,1,40.0,1.0,0,True,False,False,False,False,False,False,False,False,False,False,True
22.0,7.0,1,15.0,1.0,0,False,False,False,False,False,True,False,False,False,True,False,False
48.0,8.0,1,40.0,0.0,0,False,False,True,False,False,False,False,False,False,False,False,True
21.0,7.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
19.0,3.0,0,25.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
31.0,7.0,1,38.0,0.0,1,False,False,True,False,False,False,False,False,False,False,False,True
31.0,8.0,1,43.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
53.0,0.0,1,40.0,1.0,0,False,False,False,False,True,False,False,False,False,False,False,True
24.0,0.0,1,50.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
49.0,3.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
25.0,3.0,1,35.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
57.0,0.0,1,40.0,1.0,1,True,False,False,False,False,False,False,False,False,True,False,False
53.0,3.0,1,38.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
44.0,4.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
25.0,7.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,True,False
18.0,3.0,0,30.0,0.0,0,False,False,True,False,False,False,False,False,False,False,False,True
37.0,0.0,1,55.0,1.0,1,True,False,False,False,False,False,False,False,False,False,False,True
47.0,3.0,1,60.0,1.0,0,False,False,False,True,False,False,False,False,False,False,False,True
43.0,7.0,1,40.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
46.0,9.0,1,40.0,0.0,0,False,False,True,False,False,False,False,False,False,False,False,True
41.0,3.0,1,48.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
30.0,3.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
30.0,0.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
48.0,3.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
42.0,1.0,1,45.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
29.0,7.0,1,58.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
36.0,3.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
28.0,7.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
53.0,3.0,0,40.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
49.0,7.0,1,50.0,1.0,1,False,False,False,True,False,False,False,False,False,False,False,True
19.0,7.0,1,32.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
31.0,0.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,True,False,False
29.0,0.0,1,70.0,1.0,1,False,False,False,False,True,False,False,False,False,False,False,True
23.0,7.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
79.0,7.0,1,20.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
27.0,3.0,1,40.0,0.0,0,False,False,True,False,False,False,False,False,False,False,False,True
18.0,8.0,0,22.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
31.0,5.0,1,40.0,1.0,0,False,True,False,False,False,False,False,False,False,False,False,True
18.0,3.0,1,30.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
52.0,0.0,1,40.0,0.0,0,False,False,True,False,False,False,False,False,False,False,False,True
46.0,3.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
59.0,3.0,1,48.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
44.0,3.0,0,40.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
53.0,3.0,0,35.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
49.0,3.0,1,40.0,1.0,1,False,True,False,False,False,False,False,False,False,False,False,True
37.0,4.0,1,50.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
30.0,8.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
43.0,1.0,0,50.0,1.0,1,True,False,False,False,False,False,False,False,False,False,False,True
37.0,7.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
28.0,7.0,0,25.0,1.0,0,False,False,True,False,False,False,False,False,False,True,False,False
30.0,3.0,0,35.0,0.0,0,False,False,True,False,False,False,False,False,True,False,False,False
34.0,0.0,1,40.0,1.0,1,False,True,False,False,False,False,False,False,False,False,False,True
29.0,7.0,1,50.0,1.0,0,False,True,False,False,False,False,False,False,False,False,False,True
48.0,1.0,1,60.0,1.0,1,False,False,False,False,True,False,False,False,False,False,False,True
37.0,7.0,1,48.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
32.0,3.0,1,40.0,1.0,0,True,False,False,False,False,False,False,False,False,True,False,False
76.0,4.0,1,40.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
44.0,0.0,1,60.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
47.0,4.0,0,50.0,1.0,0,False,False,False,False,True,False,False,False,False,False,False,True
20.0,7.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
29.0,3.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
32.0,3.0,1,40.0,1.0,1,False,False,False,True,False,False,False,False,False,False,False,True
30.0,8.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
31.0,3.0,0,40.0,1.0,0,False,True,False,False,False,False,False,False,False,False,False,True
42.0,3.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
24.0,0.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
56.0,3.0,1,50.0,0.0,1,False,False,False,False,True,False,False,False,False,False,False,True
28.0,7.0,0,25.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
36.0,3.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
53.0,8.0,1,50.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
56.0,7.0,1,50.0,1.0,0,False,False,False,True,False,False,False,False,False,False,False,True
55.0,7.0,1,56.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
22.0,3.0,1,41.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
21.0,7.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
40.0,0.0,1,60.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
30.0,0.0,1,40.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False
29.0,0.0,1,50.0,1.0,1,False,False,False,False,False,True,False,False,False,False,False,True
19.0,7.0,1,35.0,1.0,0,False,False,True,False,False,False,False,False,False,True,False,False
47.0,0.0,0,40.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
20.0,7.0,0,28.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
39.0,7.0,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
24.0,3.0,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
38.0,3.0,1,35.0,1.0,0,False,False,False,False,True,False,False,False,False,False,False,True
